order_id,customer_id,seller_id,order_status,order_purchase_date,order_delivered_carrier_date,order_delivered_customer_date
b73f09200030e4970b9840b72a630e45,ba12c461af37457048f420e37de2abab,cca3071e3e9bb7d12640c9fbe2301306,delivered,2017-01-31,2017-02-02,2017-02-14
cdf2839409d0f62e2b2e61b62b72dc16,852947b57caab58c544343592f5e06d2,681fce914360217db47784ae28905a96,delivered,2018-02-14,2018-02-15,2018-02-26
1e2335cf4dd533488459494190011751,5e24c55ef0779a3c578d272ff7c3d4fb,8f2ce03f928b567e3d56181ae20ae952,delivered,2018-02-19,2018-02-22,2018-03-01
ca414766885ef23fbb64dcfffe684699,af75138c42a3bc72157eaf45b6da592f,855668e0971d4dfd7bef1b6a4133b41b,delivered,2017-09-25,2017-09-25,2017-10-06
966c914d71ae9d1b59d440bcfc72d5cc,80c74074b2a3c419ee813c0b31ef95c7,900ba814c251a692506d7834c1218441,delivered,2018-08-01,2018-08-03,2018-08-06
ee4558aeeba185bcd979ed46022947ff,314ec9cbe156ddd9cdaa1a9bf021e00e,955fee9216a65b617aa5c0531780ce60,delivered,2018-02-27,2018-02-28,2018-03-08
33cf8e9da9865079f64965b83061baae,1004c05877ddf8196ad1341ca602e628,d91fb3b7d041e83b64a00a3edfb37e4f,delivered,2018-03-20,2018-03-21,2018-03-24
5a6a63148f6ab52879bb7c2d7117e366,65c9fdf79fdf0d4b98902fbf9617c171,aba1721a889e04decc910aa13b768ef4,delivered,2017-04-04,2017-04-05,2017-04-11
823e4c9d908f5ec1cad58e1e3e7d716d,7602193faf4a04077a96dbc64e25e571,e333046ce6517bd8bb510291d44f0130,delivered,2018-08-22,2018-08-23,2018-08-31
9771eaad8e60f7b28d57d554cc2bc62c,84872d1894135d15c4e51ba68ba3e8fb,cca3071e3e9bb7d12640c9fbe2301307,delivered,2017-03-13,2017-03-14,2017-03-20
17a3d477ebcd2f70cf12135d4e07fb17,4ad966e1eefc576c04159e46a8e38b20,7a67c85e85bb2ce8582c35f2203ad736,delivered,2018-01-10,2018-01-12,2018-01-20
573aed3067e4c429716880094b71a80b,94cce5d77423fc7926d3af0d01f379ef,4a3ca9315b744ce9f8e9374361493884,delivered,2017-02-22,2017-02-23,2017-03-07
a376666be364f3f82e0ca187cd014a86,936c4a5189882afd96a500e9650c7222,d6b1ce66b035a475f00c017792ff9769,delivered,2018-07-14,2018-07-18,2018-07-24
ace58598846c21f25ac62b735a436731,b99054fd23768e0fc903c0eab8a83442,70c27847eca8195c983ed7e798c56743,delivered,2018-04-09,2018-04-13,2018-04-16
00c47fefb9a49baec12ab3654d7f548e,411373e81bbd24b0356ca1274e9c03fe,91f0eec23d4a61d7d7caeefa3f0ad1ca,delivered,2017-12-06,2017-12-06,2018-01-16
17e604bb550e265b46ebefe61430751b,30e8a49cee668a4435b2f91cc77c9d15,d91fb3b7d041e83b64a00a3edfb37e4g,delivered,2018-08-21,2018-08-22,2018-08-27
053180cf4b0cf3f7a300e2e42ff01da9,ce330ffe33e3f344ad5a80b8410c1ced,1f50f920176fa81dab994f9023523100,delivered,2017-12-11,2017-12-13,2017-12-27
9400f275e481cffa6ae413327d5ae05d,e48f50d453ada5bceb41e239a2dc2065,e333046ce6517bd8bb510291d44f0131,delivered,2017-11-25,2017-11-27,2017-12-19
0ac83eb5438f811c9d825c0a059a0f28,2c7fd840b20f1551c8a151f86349f19a,7e1fb0a3ebfb01ffb3a7dae98bf3238d,delivered,2018-02-19,2018-02-21,2018-03-20
f08cc56e54ab93c2caf71e5a46892314,2e2aceda14bf519194b25f568876ab3d,4d6d651bd7684af3fffabd5f08d12e5a,delivered,2018-04-12,2018-04-17,2018-04-24
dfda6b8e30bc9ac258d2835f931c28f0,6b4a545e81c747a0f12ec50d9f725d63,9b013e03b2ab786505a1d3b5c0756754,delivered,2018-01-08,2018-01-12,2018-01-18
2f9d5a38c98570700418e8e091e56f16,f037c0f3d62d2c77533386a9b4e32883,81ed90f07c0bacb7594940ba2ef676aa,delivered,2017-11-11,2017-11-20,2017-11-27
2e266d1d2bf4cdf6d74ee51b92bab016,b6349bdae88bc7c85c4aeb0cb604dac8,de722cd6dad950a92b7d4f82673f8833,delivered,2018-03-12,2018-03-15,2018-03-21
bafef85881303806cc2d726bda04dfd7,55dbeedb7b2bf8d3059f319abe27202f,70c27847eca8195c983ed7e798c56744,delivered,2018-08-22,2018-08-24,2018-08-27
760312f5735ee281f01e56d5ddee05e3,4b003ee1eabaffe8ff8e6d75394a9b42,a673821011d0cec28146ea42f5ab767f,delivered,2018-06-11,2018-06-12,2018-06-20
3e27135b0c650634ca397ea4c2943e1e,00a39528c677a55852f57235f988b837,218f991754f360af9c2daa5e0b8e990c,delivered,2018-03-23,2018-03-28,2018-04-02
8dca52c1ec5a814dc9ebd26524ae8b3e,e0ac2a4e5a234620bfcaef3796384831,dbc22125167c298ef99da25668e1011f,delivered,2017-11-08,2017-11-10,2017-11-17
db9458d0bbfff27cf6ff5b9342087fd0,05075b9433e8f047f3ba7a5ada189809,9616352088dcf83a7c06637f4ebf1c80,delivered,2017-09-01,2017-09-04,2017-09-11
1237d70df58d4f9a8bd929b9943f9b8a,d6b41b191f1f643ff583898156e049cf,6219ba2359cfb97f2e38fd4c321eb309,delivered,2017-10-09,2017-11-17,2017-12-05
d209d8b7e741f8ce447b0173e579e3a4,d3ab15f0bd2c58865d566ab645572cd5,620c87c171fb2a6dd6e8bb4dec959fc6,delivered,2018-02-01,2018-02-05,2018-02-06
88bf5b4aa46a6a1db2d81f68b8983a42,6b53c8e698ffdea3353ba3339aacfa95,ca3bd7cd9f149df75950150d010fe4a2,delivered,2018-03-06,2018-03-07,2018-04-18
0daf1f0e67b534ad873ba61c5d6ad7d3,1681471e9172d7e12ba08e9ac9e8628b,4a3ca9315b744ce9f8e9374361493885,delivered,2017-09-05,2017-09-09,2017-09-19
d37d89dd6d36e423ff7296dc9482c53e,67a28655b804d6a418964f3dd4e214bc,432c37c9dfba871172ec162e20118b8c,delivered,2018-01-23,2018-01-31,2018-02-20
