seller_id,seller_zip_code_prefix,seller_city,seller_state
cca3071e3e9bb7d12640c9fbe2301306,14940,ibitinga,SP
681fce914360217db47784ae28905a96,83709,araucaria,PR
8f2ce03f928b567e3d56181ae20ae952,5141,pirituba,SP
855668e0971d4dfd7bef1b6a4133b41b,13257,itatiba,SP
900ba814c251a692506d7834c1218441,13328,salto,SP
955fee9216a65b617aa5c0531780ce60,4782,sao paulo,SP
d91fb3b7d041e83b64a00a3edfb37e4f,11704,praia grande,SP
aba1721a889e04decc910aa13b768ef4,5729,sao paulo,SP
e333046ce6517bd8bb510291d44f0130,18950,ipaussu,SP
cca3071e3e9bb7d12640c9fbe2301307,14940,ibitinga,SP
7a67c85e85bb2ce8582c35f2203ad736,3426,sao paulo,SP
4a3ca9315b744ce9f8e9374361493884,14940,ibitinga,SP
d6b1ce66b035a475f00c017792ff9769,13327,salto,SP
70c27847eca8195c983ed7e798c56743,20930,rio de janeiro,RJ
91f0eec23d4a61d7d7caeefa3f0ad1ca,88704,tubarao,SC
d91fb3b7d041e83b64a00a3edfb37e4g,11704,praia grande,SP
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
e333046ce6517bd8bb510291d44f0131,18950,ipaussu,SP
7e1fb0a3ebfb01ffb3a7dae98bf3238d,14403,franca,SP
4d6d651bd7684af3fffabd5f08d12e5a,17209,jau,SP
9b013e03b2ab786505a1d3b5c0756754,11450,vicente de carvalho,SP
81ed90f07c0bacb7594940ba2ef676aa,35500,divinopolis,MG
de722cd6dad950a92b7d4f82673f8833,51250,recife,PE
70c27847eca8195c983ed7e798c56744,20930,rio de janeiro,RJ
a673821011d0cec28146ea42f5ab767f,3809,sao paulo,SP
218f991754f360af9c2daa5e0b8e990c,1123,sao paulo,SP
dbc22125167c298ef99da25668e1011f,37564,borda da mata,MG
9616352088dcf83a7c06637f4ebf1c80,87504,umuarama,PR
6219ba2359cfb97f2e38fd4c321eb309,2110,sao paulo,SP
620c87c171fb2a6dd6e8bb4dec959fc6,25645,petropolis,RJ
ca3bd7cd9f149df75950150d010fe4a2,4361,sao paulo,SP
4a3ca9315b744ce9f8e9374361493885,14940,ibitinga,SP
432c37c9dfba871172ec162e20118b8c,70235,brasilia,DF
ea8482cd71df3c1969d7b9473ff13abc,4160,sao paulo,SP
eb5b6204dde3a6e03b5f1bb8479f055b,6900,embu guacu,SP
7c1fea10b5b006671d608b1d7c446ec4,18550,boituva,SP
