review_id,order_id,review_score,review_comment_message,review_creation_date
fc35cf08ab23f83e759a28af9e5953fd,b73f09200030e4970b9840b72a630e45,5,Fast delivery!,2/15/2017 0:00
943539772eec674741b3a45d6dcf23b9,cdf2839409d0f62e2b2e61b62b72dc16,5,Good delivery,2/27/2018 0:00
4ee57350880116220a2070558e1f0dd9,1e2335cf4dd533488459494190011751,5,very good delivered before the deadline that the company continues like this,3/2/2018 0:00
563b773dfdbaf329766653ce3199d7e6,ca414766885ef23fbb64dcfffe684699,5,Delivered before the deadline.... very good material,10/7/2017 0:00
e36e401e3e47d442f1b56fd873eaa3c9,966c914d71ae9d1b59d440bcfc72d5cc,5,The timo delivered on time,8/7/2018 0:00
22286a03653ed8542b7c5be9aabd2248,ee4558aeeba185bcd979ed46022947ff,4,On time,3/9/2018 0:00
dce79f00fe68b6878ea75ab712bcc327,33cf8e9da9865079f64965b83061baae,5,all right....,3/25/2018 0:00
0597885c5017e7a01d792f8eb3026bea,5a6a63148f6ab52879bb7c2d7117e366,5,5 star rating,4/12/2017 0:00
a34e202e3fc6ba283132d42ece7497ed,823e4c9d908f5ec1cad58e1e3e7d716d,4,Good ,8/31/2018 0:00
28ebc8235067b2bb7523811acd539977,9771eaad8e60f7b28d57d554cc2bc62c,5,Great,3/21/2017 0:00
10558c164d2afab8eddfae1c9015b67b,17a3d477ebcd2f70cf12135d4e07fb17,3,"The kit is© beautiful. But it©didn't come cute inside, no lining.
",1/21/2018 0:00
174f410f1bf02d4e1a9396bdcd4c7b10,573aed3067e4c429716880094b71a80b,5,Good.,3/8/2017 0:00
f7d9b03e252d5ede4dd40b77f2f787aa,a376666be364f3f82e0ca187cd014a86,5,Good,7/25/2018 0:00
0d48b39157e86a6f70dd9e2c6c854960,ace58598846c21f25ac62b735a436731,5,Best service,4/17/2018 0:00
dfe2c33bd61eb5ca78a8dea99d496357,00c47fefb9a49baec12ab3654d7f548e,4,"It's the first time I make purchase over the internet, because until© then I didn't feel safe, because some friends who did had trouble receiving their products, but I decided to take a chance and it worked",1/17/2018 0:00
7e25736fcc1090800216e0d3865f6d1c,17e604bb550e265b46ebefe61430751b,5,Super recommend. Delivered before the deadline,8/28/2018 0:00
f2bf4a6225c02391ec9a909b558a96fd,053180cf4b0cf3f7a300e2e42ff01da9,5,"""Timo product",12/28/2017 0:00
ba0c395745625f719aa09c3b0716a94b,9400f275e481cffa6ae413327d5ae05d,5,Very good.,3/30/2017 0:00
b1945c9e366fcf5a921a54e4263b881f,0ac83eb5438f811c9d825c0a059a0f28,4,pace of delivery is good,3/21/2018 0:00
bd5b54cb3b8ba413091d1677abfe88a4,f08cc56e54ab93c2caf71e5a46892314,5,Will recommend for future use ,4/25/2018 0:00
